,id,name,mmi,location,distance,station,longitude,latitude,pga_h,pga_v,pgv_h,pgv_v
166,nz_smhs_20,Summerhill,2,20,163.42,SMHS,172.33463,-43.26216,0.1000020048,0.06431708,0.0990761748,0.0340084473
167,nz_smtc_20,Styx Mill Transfer Station,2,20,183.5,SMTC,172.613861,-43.467529,0.2036606524,0.128665502,0.0956671997,0.0339719965
168,nz_socs_20,Lower Hutt St Orans College,3,20,196.23,SOCS,174.915936,-41.204326,0.3293826604,0.2536641561,0.1898296365,0.0939838442
169,nz_soms_20,Somes Island,2,20,190.19,SOMS,174.865,-41.25746,0.1495665062,0.1149389187,0.0837747589,0.0442845725
170,nz_sprs_20,Springfield Volunteer Fire Station,3,20,180.39,SPRS,171.93008,-43.3368,0.4919549942,0.2111694346,0.1955561484,0.083602514
171,nz_stas_20,St Albans Christchurch,3,20,188.53,STAS,172.64112,-43.51361,0.4912228192,0.114579434,0.175980861,0.0291965596
172,nz_stks_20,Sign of the Kiwi,2,20,198.83,STKS,172.644913,-43.606541,0.1470957119,0.1460445968,0.057570929,0.0369383406
173,nz_tais_20,Taita Central School,3,20,200.22,TAIS,174.954772,-41.180384,0.1822101408,0.2336425306,0.1189946667,0.093623392
174,nz_tcw_20,Tory Channel,3,20,147.03,TCW,174.276328,-41.210365,0.8135950946,0.3399877195,0.3247405399,0.1105153699
175,nz_tens_20,Lake Tennyson,4,20,45.01,TENS,172.79019,-42.21496,0.9896758704,0.7982702769,0.7241412231,0.3284809818
176,nz_teps_20,Wellington Te Papa Museum,3,20,182.35,TEPS,174.781064,-41.290588,0.3352477262,0.3668528938,0.3279370332,0.1877934118
177,nz_tfss_20,Wellington Thorndon Fire Station,3,20,183.07,TFSS,174.783054,-41.275427,0.3500199703,0.1934456774,0.1995855025,0.0997108587
178,nz_thob_21,Te Horo House,2,21,229.65,THOB,175.092971,-40.789402,,0.1307873844,,0.0629736463
179,nz_thz_21,Top House,4,21,17.57,THZ,172.90522,-41.762476,0.8451627474,0.3169419363,0.4395187863,0.1307091531
180,nz_toks_20,Te Oka Bay Road SW Banks Peninsula,3,20,222.79,TOKS,172.78084,-43.82243,0.5968743484,0.3349635926,0.130656372,0.0631681372
181,nz_tplc_20,Templeton School,3,20,193.44,TPLC,172.471954,-43.549997,0.2880565823,0.1912039168,0.1056224221,0.0474268407
182,nz_trms_20,Tiraumea,3,20,302.67,TRMS,175.990997,-40.671276,0.363379944,0.0942701267,0.1947655697,0.0455970966
183,nz_tsfs_20,Takaka Scott's Farm,4,20,107.36,TSFS,172.821101,-40.849423,0.7734087946,0.3922856784,0.4308520725,0.1518619814
184,nz_tuhs_20,Taumarunui High School,3,20,391.61,TUHS,175.24831,-38.864117,0.2451280786,0.0921943925,0.1461735193,0.0474504404
185,nz_tuwz_20,Tuamarina,3,20,111.45,TUWZ,173.942893,-41.429389,0.9394438385,0.4512830059,0.2837553548,0.128773784
186,nz_twas_20,Twizel Area School,1,20,343.78,TWAS,170.098339,-44.254589,0.0305770711,0.0045135983,0.0239864603,0.0027575067
187,nz_uhcs_20,Upper Hutt College,2,20,209.12,UHCS,175.040938,-41.126815,0.1386877266,0.1160534029,0.0778550692,0.0345831161
188,nz_uhss_20,Upper Hutt Primary School,2,20,211.01,UHSS,175.06509,-41.12637,0.0919555522,0.0996712978,0.0578384003,0.0330258128
189,nz_vrz_21,Vera Road,2,21,345.03,VRZ,174.75845,-39.124341,0.151387588,0.059057248,0.0678227576,0.0343539573
190,nz_vuws_20,Victoria University Law School,3,20,182.53,VUWS,174.778399,-41.279854,0.3720041825,0.2540584566,0.2638613086,0.1196245764
191,nz_wakc_20,Waikari,3,20,127.41,WAKC,172.70524,-42.963103,0.5583594723,0.191394573,0.2682980831,0.1019993717
192,nz_waks_20,Wakarara Rangimaire Farm,1,20,374.7,WAKS,176.251679,-39.772728,0.0126401676,0.0061563723,0.0060874054,0.0034913252
193,nz_wans_20,Wainuiomata Hill,2,20,196.37,WANS,174.93102,-41.23122,0.1687792617,0.1426058911,0.0732662662,0.0441606755
194,nz_waz_20,Wanganui,2,20,298.32,WAZ,174.985533,-39.754644,0.173490476,0.0796657879,0.0882700676,0.0433764355
195,nz_wbcs_20,Westport Buller District Council,3,20,91.93,WBCS,171.599812,-41.755661,1.0079022352,0.3852362426,0.3149522024,0.0582003633
196,nz_wcds_20,Wanganui Civil Defence Store,2,20,286.85,WCDS,175.047993,-39.933638,0.1276567376,0.0633396522,0.0621771601,0.0319087231
197,nz_wcss_20,Whitecliffs,3,20,194.85,WCSS,171.86346,-43.45775,0.9695083427,0.1626101282,0.3723486415,0.0848964158
198,nz_wdas_20,Wainuiomata Bush Fire Force,4,20,196.78,WDAS,174.948466,-41.257397,0.4521805125,0.2795653158,0.5133909044,0.1728184269
