,id,name,mmi,location,distance,station,longitude,latitude,pga_h,pga_v,pgv_h,pgv_v
90,nz_mcas_20,Murchison Area School,3,20,31.31,MCAS,172.328031,-41.799934,1.0366541403,0.3740420868,0.302142734,0.1268620074
91,nz_mcns_20,Mount Cook Annex,1,20,301.34,MCNS,170.0972,-43.73645,0.0542936693,0.0335404564,0.0223274515,0.0097371944
92,nz_mecs_20,Makarora Emergency Centre,1,20,389.31,MECS,169.232938,-44.230446,0.0255587207,0.023790081,0.0209243674,0.014892187
93,nz_mens_20,Menlo Terrace Mount Pleasant Christchurch,2,20,193.44,MENS,172.71149,-43.55849,0.2891390476,0.1399318504,0.0910558944,0.0337724332
94,nz_miss_20,Wellington Miramar School,3,20,184.44,MISS,174.818435,-41.314888,0.3138177926,0.2168597143,0.2661243372,0.1401587847
95,nz_mkbs_21,Makara Bunker,2,21,178.4,MKBS,174.6979,-41.2251,0.295333673,0.2240903119,0.1004918842,0.093931328
96,nz_mkvs_20,Makara Village,3,20,177.36,MKVS,174.705524,-41.265421,0.3111301016,0.2099942736,0.1107439707,0.1173301027
97,nz_mnzs_20,Menzies Bay Banks Peninsula,2,20,203.37,MNZS,172.973808,-43.637364,0.1581906479,0.1250397314,0.0558658272,0.0382780811
98,nz_mols_20,Molesworth Station,4,20,54.89,MOLS,173.257401,-42.088023,1.6278352364,0.6451935956,0.5787972203,0.1571530456
99,nz_mors_20,Moorhouse Ave Christchurch,3,20,191.45,MORS,172.6214,-43.5395,0.4891969397,0.1369444286,0.2272874826,0.0413290236
100,nz_mots_20,Motueka DOC workshop,4,20,80.52,MOTS,173.009503,-41.12469,1.6591446255,0.3693076203,0.6023519783,0.13442028
101,nz_mqz_21,McQueen's Valley,3,21,209.85,MQZ,172.653773,-43.706094,1.0025460501,0.2543946498,0.2080269896,0.0310629285
102,nz_mrz_21,Mangatainoka River,2,21,272.3,MRZ,175.578516,-40.6605,0.071546469,0.0414003206,0.0402583491,0.0207982006
103,nz_msmc_20,Mount Somers School,2,20,235.11,MSMC,171.402269,-43.704588,0.0806390339,0.0418090524,0.0293610795,0.0183732543
104,nz_msz_20,Milford Sound,1,20,500.48,MSZ,167.926399,-44.673334,0.0038137326,0.0013952527,0.0019015998,0.0006677255
105,nz_mths_20,Methven North,2,20,211.75,MTHS,171.666362,-43.563194,0.0927604185,0.057122075,0.0423370354,0.0235447586
106,nz_mthz_20,Maungataniwha,1,20,480.29,MTHZ,176.8411,-38.8523,0.0202889386,0.0084897493,0.0135208031,0.0049869703
107,nz_mtps_21,Mount Pleasant,2,21,196.34,MTPS,172.725828,-43.58465,0.1496420333,0.103046072,0.0554165886,0.0400264648
108,nz_mwds_21,Moawhango Dam,1,21,370.67,MWDS,175.752648,-39.406938,0.0161089766,0.0085673342,0.0107193581,0.0043108261
109,nz_nblc_21,New Brighton Library,3,21,187.74,NBLC,172.731428,-43.507003,0.3124409944,0.0950164921,0.1302436045,0.0316202215
110,nz_nbss_20,St Bernadette's School,3,20,199.27,NBSS,174.953755,-41.202272,0.4705941528,0.2225643109,0.3169917673,0.1573453839
111,nz_ncbs_20,Nelson Council Building,4,20,77.12,NCBS,173.283675,-41.270874,0.9297749759,0.382289827,0.4845406081,0.142842016
112,nz_nels_20,Nelson Hospital,4,20,75.16,NELS,173.274245,-41.287804,1.8008585414,0.712499316,0.7138126198,0.2752290788
113,nz_news_20,Newlands,3,20,187.77,NEWS,174.82178,-41.23204,0.1373548555,0.2220873448,0.0777570673,0.1075917289
114,nz_nlms_20,Nelson Nelmac,4,20,77.15,NLMS,173.276835,-41.266524,1.1304866452,0.4439923212,0.5666556428,0.1211581102
115,nz_nnbs_20,Rawhiti School,3,20,186.44,NNBS,172.717998,-43.495426,0.2529988145,0.0647250626,0.144853826,0.0317526197
116,nz_nnz_21,Nelson,3,21,86.81,NNZ,173.379483,-41.217074,0.6781886835,0.3077996134,0.1884490556,0.0995572509
117,nz_npcs_20,New Plymouth Civil Defence,3,20,326.21,NPCS,174.073384,-39.062428,0.2257768276,0.0874237906,0.1360076543,0.0409612064
118,nz_nsbs_21,Neils Beach,2,21,408.97,NSBS,168.660873,-43.99786,0.1081779941,0.1066993351,0.0404860701,0.018671845
119,nz_nwfs_20,Ngawi Fire Station,2,20,211.57,NWFS,175.233959,-41.589066,0.0645145665,0.0348039735,0.0278397255,0.0081263213
120,nz_oams_20,Oamaru North Otago Museum,1,20,390.43,OAMS,170.969136,-45.099745,0.0246094577,0.0125599229,0.0108140816,0.0059578377
121,nz_odz_21,Otahua Downs,1,21,395.0,ODZ,170.644626,-45.044028,0.0341401596,0.0219790666,0.0088412741,0.0061303153
